variavel,descrição,classe
tp_notificacao,Identifica o tipo da notificação,"{1:'Negativa',2:'Individual',3:'Surto',4:'Agregado'}"
tp_suspeita,Especifica a suspeição do agravo e identifica se notificação é de AIDS adulto ou criançã,"{'a':{1:'Sarampo',2:'Rubéola'},b:{1:'Doenças Meningocócicas', 2:'Outras Meningites'}, 'c':{1:'Criança (<=13)', 2:'Adulto (>=13)'}}"
tp_sexo,Genero do paciente,"{'M':'Masculino','F':'Feminino','I':'Ignorado'}"
tp_gestante,Idade gestacional da paciente,"{1:'1º Trimestre',2:'2º Trimestre',3:'3º Trimestre', 4:'Idade gestacional ignorada', 5:'Não',6:'Não se aplica',9:'Ignorado'}"
tp_raca_cor,Considera-se cor ou raça declarada pela pessoa,"{1:'branca',2:'preta',3:'amarela',4:'parda',5:'indígena',9:'ignorado'}"
tp_escolaridade,Série ou grau que a pessoa está frequentando ou frequentou considerando a última série concluída com aprovaçãou ou grau de instrução do paciente por ocasião da notificação,"{43:'Analfabeto',1:'1ª a 4ª série incompleta do EF',2:'4ª série completa do EF',3:'5ª à 8ª série incompleta do EF (antigo ginásio ou 1º grau)',4:'Ensino fundamental',5:'Ensino médio incompleto (antigo colégial ou 2º grau)',6:'Ensino médio completo (antigo colegial ou 2º grau)',7:'Educação superir completa',8:'Educação superior completa', 9:'Ignorado', 10:'Não se aplica'}"
tp_zona_residencia,Zona de residência do paciente por ocasião da notificação,"{1:'urbana',2:'rural',3:'periurbana',9:'ignorado'}"
tp_duplicidade,Identifica duplicidade,"{0:'Não identificado',1:'Não é duplicidade',2:'Duplicidade (não contar)'}"
st_vincula,Indica se a notificaç~ao foi vinculada,"{0:'Não vinculado',1:'Vinculado'}"
Tp_autoctone_residencia,Indica se o caso é autóctone do município de residência,"{1:'Sim',2:'Não',3:'Indeterminado'}"
st_doenca_trabalho,Indica se a doença esta ou não relacionada ao trabalho,"{1:'Sim',2:'Não',9:'Ignorado'}"
tp_fluxo_retorno,Identifica se o registro está habilitado ou foi enviado pelo fluxo de retorno para o município de residência,"{0:'Não',1:'habilitado para envio',2:'enviado'}"
